NAME,ORIGIN,SUPPLIER,TYPE,GRAIN_TYPE,COLOR,EXTRACTION,POWER
2-Row Malt,Canada,Rahr,Grain,Base,1.9,80,130
6-Row Malt,Canada,Rahr,Grain,Base,2.2,79,160
Premium Pilsner Malt,Canada,Rahr,Grain,Base,1.7,80,130
Pale Ale Malt,Canada,Rahr,Grain,Base,3.5,79,60
White Wheat Malt,Canada,Rahr,Grain,Special,3.2,85,60
Red Wheat Malt,Canada,Rahr,Grain,Special,3.2,85,40
