NAME,ORIGIN,ALPHA,BETA,TOTAL_OIL,COHUMULONE,MYRCENE,LINALOOL,CARYOPHYLLENE,FARNESENE,HUMULENE,GERANIOL,ALIASES
Rakau,New Zealand,10,5.5,2.2,24,56,,,,,,
Riwaka,New Zealand,5,4.5,1.5,32,68,,,,,,
Saaz,USA,4,3.7,0.7,26,27,,,,,,
Saaz,Czech Republic,3,5,0.6,24,32,,,,,,
Sabro,USA,15,5.2,2.6,22,59,,,,,,
Santiam,USA,7.2,7.5,1.6,23,20,,,,,,
Saphir,Germany,3,5.5,1.1,15,32,,,,,,
Styrian Savinjski Golding,Slovenia,5,3,0.7,27,30,,,,,,
Spalter Select,Germany,4,3.7,0.7,24,30,,,,,,
Simcoe,USA,13,3.7,2,19,45,0.7,11,0.5,17,1,
Sládek,Czech Republic,6,5.5,1.5,26,42,,,,,,
Smaragd,Germany,5,4.5,0.6,15,30,,,,,,
Sorachi Ace,USA,13,6.8,2.2,26,50,,,,,,
Southern Cross,New Zealand,12,5.5,1.2,26,32,,,,,,
Sovereign,United Kingdom,5,2.6,0.8,28,26,,,,,,
Spalt,Germany,4,4,0.7,25,27,,,,,,
Sterling,USA,7,5.2,1.5,25,40,,,,,,
Sticklebract,New Zealand,12,6.6,0.8,38,15,,,,,,
Strisselspalt,France,2,4.3,0.7,21,44,,,,,,
Summer,Australia,6,5.4,1.7,22,34,,,,,,
Summit,USA,16,5.7,2.2,31,35,,,,,,
Super Pride,Australia,14,7,3.7,27,38,,,,,,
Sussex,United Kingdom,5,2.8,0.5,36,42,,,,,,
Sylva,Australia,6,3.8,1.2,22,31,,,,,,
Tahoma,USA,7,7.5,1.7,16,60,,,,,,
Target,United Kingdom,11,5.0,1.3,38,50,,,,,,
Taurus,Germany,15,5,1.2,23,40,,,,,,
Tettnang,USA,5,3.2,0.7,26,35,,,,,,
Tettnanger,Germany,4,4,0.7,25,27,,,,,,
Topaz,Australia,15,7.1,1.9,40,45,,,,,,
TriplePearl,USA,11,3.6,1.5,23,47,,,,,,
Triskel,France,8,4.3,1.7,22,60,,,,,,
Ultra,USA,9,3.9,1.2,,55,,,,,,
Vanguard,USA,5,6.2,0.7,19,10,,,,,,
Vic Secret,Australia,15,7,2.5,53,40,,,,,,
Wai-iti,New Zealand,3,5,1.6,23,3,,,,,,
Waimea,New Zealand,17,8,2.1,23,60,,,,,,
Wakatu,New Zealand,7,8.5,1,29,35,,,,,,
Warrior,USA,17,5.2,1.7,26,45,,,,,,
Whitbread Golding,United Kingdom,5,2.6,1,37,24,,,,,,
Willamette,USA,5,3.7,1.2,30,27,,,,,,
Yakima Gold,USA,7,4,1,22,40,,,,,,
Zythos,USA,11,5,1.2,29,40,,,,,,
